season_id,season_text,grade_id,grade_name
11,2020,73934,Eerste Klasse
11,2020,71375,Hoofdklasse
11,2020,71374,Topklasse
11,2020,71378,Topklasse Twenty20
12,2021,73934,Eerste Klasse
12,2021,71375,Hoofdklasse
12,2021,71374,Topklasse
12,2021,71378,Topklasse Twenty20
12,2021,73940,Tweede Klasse
12,2021,74760,Vrouwen Hoofdklasse
12,2021,73943,Zami
12,2021,73944,Zomi
13,2022,80882,Beslissingswedstrijd Topklasse - Hoofdklasse
13,2022,73934,Eerste Klasse
13,2022,71375,Hoofdklasse
13,2022,80349,Hoofdklasse Play Off
13,2022,80636,Overgangsklasse Finals
13,2022,71374,Topklasse
13,2022,80120,Topklasse Play Off
13,2022,71378,Topklasse Twenty20
13,2022,73940,Tweede Klasse
13,2022,77363,Vrouwen Eerste Klasse
13,2022,74760,Vrouwen Hoofdklasse
13,2022,73943,Zami
13,2022,73944,Zomi
15,2023,80882,Beslissingswedstrijd Topklasse - Hoofdklasse
15,2023,73934,Eerste Klasse
15,2023,71375,Hoofdklasse
15,2023,80349,Hoofdklasse Play Off
15,2023,82134,Hoofdklasse Twenty20
15,2023,80636,Overgangsklasse Finals
15,2023,71374,Topklasse
15,2023,80120,Topklasse Play Off
15,2023,71378,Topklasse Twenty20
15,2023,73940,Tweede Klasse
15,2023,77363,Vrouwen Eerste Klasse
15,2023,82351,Vrouwen Hoofdklasse
15,2023,74760,Vrouwen Hoofdklasse
15,2023,82349,Vrouwen Topklasse
15,2023,73943,Zami
15,2023,73944,Zomi
17,2024,80882,Beslissingswedstrijd Topklasse - Hoofdklasse
17,2024,73934,Eerste Klasse
17,2024,71375,Hoofdklasse
17,2024,80349,Hoofdklasse Play Off
17,2024,82134,Hoofdklasse Twenty20
17,2024,80636,Overgangsklasse Finals
17,2024,71374,Topklasse
17,2024,80120,Topklasse Play Off
17,2024,71378,Topklasse Twenty20
17,2024,73940,Tweede Klasse
17,2024,82351,Vrouwen Hoofdklasse
17,2024,74760,Vrouwen Hoofdklasse
17,2024,82349,Vrouwen Topklasse
17,2024,73943,Zami
17,2024,73944,Zomi
19,2025,73934,Eerste Klasse
19,2025,71375,Hoofdklasse
19,2025,82134,Hoofdklasse Twenty20
19,2025,71374,Topklasse
19,2025,71378,Topklasse Twenty20
19,2025,73940,Tweede Klasse
19,2025,82351,Vrouwen Hoofdklasse
19,2025,82349,Vrouwen Topklasse
19,2025,73943,Zami
19,2025,73944,Zomi
